data_criacao,id,temperatura,umidade,latitude,longitude,altitude,HDOP,satelites
2025-11-19T14:16:42-03:00,142,30.8,68.0,-7.995877,-34.841098,23.6,1.31,6.0
2025-11-19T14:17:03-03:00,143,30.8,69.0,-7.995877,-34.841098,23.6,99.99,6.0
2025-11-19T14:17:24-03:00,144,30.8,69.0,-7.995946,-34.840913,36.0,1.32,6.0
2025-11-19T14:17:46-03:00,145,30.8,69.0,-7.995923,-34.840932,36.0,1.32,6.0
2025-11-19T14:18:06-03:00,146,30.8,69.0,-7.995923,-34.840932,36.0,1.32,6.0
2025-11-19T14:18:27-03:00,147,30.8,69.0,-7.995947,-34.84089,25.8,1.32,6.0
2025-11-19T14:18:47-03:00,148,31.3,70.0,-7.995966,-34.840889,22.4,1.67,4.0
2025-11-19T14:19:08-03:00,149,31.8,70.0,-7.995972,-34.840883,16.9,1.35,5.0
2025-11-19T14:19:29-03:00,150,31.8,71.0,-7.995974,-34.84088,14.3,1.32,6.0
2025-11-19T14:19:50-03:00,151,32.3,71.0,-7.99598,-34.84085,18.8,1.32,6.0
2025-11-19T14:20:10-03:00,152,32.3,71.0,-7.995583,-34.840889,24.0,1.33,6.0
2025-11-19T14:20:31-03:00,153,32.8,70.0,-7.995583,-34.840889,24.0,1.33,6.0
2025-11-19T14:20:51-03:00,154,32.8,69.0,-7.995583,-34.840889,24.0,1.33,6.0
2025-11-19T14:21:12-03:00,155,32.8,67.0,-7.995583,-34.840889,24.0,1.33,6.0
2025-11-19T14:21:32-03:00,156,33.3,63.0,-7.995583,-34.840889,24.0,1.33,6.0
2025-11-19T14:21:53-03:00,157,33.3,60.0,-7.995583,-34.840889,24.0,1.33,6.0
2025-11-19T14:22:14-03:00,158,33.3,56.0,-7.995583,-34.840889,24.0,1.33,6.0
2025-11-19T14:22:35-03:00,159,32.8,55.0,-7.995583,-34.840889,24.0,1.33,6.0
2025-11-19T14:22:56-03:00,160,32.8,52.0,-7.995583,-34.840889,24.0,1.33,6.0
2025-11-19T14:23:16-03:00,161,32.8,51.0,-7.995583,-34.840889,24.0,1.33,6.0
2025-11-19T14:23:37-03:00,162,32.8,48.0,-7.998539,-34.841216,21.4,1.53,5.0
2025-11-19T14:23:58-03:00,163,32.3,46.0,-7.998476,-34.841173,19.0,1.34,6.0
2025-11-19T14:24:21-03:00,164,32.3,46.0,-7.998878,-34.841199,19.5,1.34,6.0
2025-11-19T14:24:43-03:00,165,31.8,45.0,-7.999559,-34.841258,20.2,1.34,6.0
2025-11-19T14:25:03-03:00,166,31.8,46.0,-8.000341,-34.841406,18.7,1.34,6.0
2025-11-19T14:25:24-03:00,167,31.8,46.0,-8.000341,-34.841406,18.7,1.34,6.0
2025-11-19T14:25:45-03:00,168,31.8,46.0,-8.001842,-34.84169,15.0,1.34,6.0
2025-11-19T14:26:05-03:00,169,31.8,45.0,-8.002451,-34.841792,15.0,1.34,6.0
2025-11-19T14:26:25-03:00,170,31.8,45.0,-8.003307,-34.841956,12.8,1.35,6.0
2025-11-19T14:26:46-03:00,171,31.8,44.0,-8.003841,-34.842088,12.7,1.35,6.0
2025-11-19T14:27:08-03:00,172,31.8,44.0,-8.003607,-34.843283,13.6,1.35,6.0
2025-11-19T14:27:28-03:00,173,31.8,44.0,-8.003817,-34.844088,12.7,1.35,6.0
2025-11-19T14:27:49-03:00,174,31.8,43.0,-8.003817,-34.844088,12.7,1.35,6.0
2025-11-19T14:28:09-03:00,175,31.8,43.0,-8.005372,-34.844577,11.7,1.35,6.0
2025-11-19T14:28:30-03:00,176,31.8,42.0,-8.006039,-34.844329,11.7,1.35,6.0
2025-11-19T14:28:51-03:00,177,31.8,42.0,-8.006748,-34.8438,14.8,1.35,6.0
2025-11-19T14:29:12-03:00,178,31.8,41.0,-8.007496,-34.843278,13.6,1.06,8.0
2025-11-19T14:29:32-03:00,179,31.8,41.0,-8.008113,-34.842849,12.5,1.07,8.0
2025-11-19T14:29:53-03:00,180,31.3,40.0,-8.008974,-34.843041,9.2,1.07,8.0
2025-11-19T14:30:15-03:00,181,31.3,40.0,-8.009676,-34.843272,8.4,1.07,8.0
2025-11-19T14:30:35-03:00,182,31.3,40.0,-8.010787,-34.843609,8.9,1.11,7.0
2025-11-19T14:30:56-03:00,183,31.3,40.0,-8.010787,-34.843609,8.9,1.11,7.0
2025-11-19T14:31:16-03:00,184,31.3,40.0,-8.010957,-34.844304,18.5,0.94,9.0
2025-11-19T14:31:38-03:00,185,31.3,40.0,-8.010955,-34.844318,18.5,0.94,9.0
2025-11-19T14:31:58-03:00,186,31.3,40.0,-8.009748,-34.844558,18.9,0.94,9.0
2025-11-19T14:32:19-03:00,187,31.3,39.0,-8.007662,-34.844555,13.7,0.95,9.0
2025-11-19T14:32:39-03:00,188,31.3,39.0,-8.005554,-34.845691,11.4,0.99,9.0
2025-11-19T14:33:00-03:00,189,31.3,38.0,-8.005554,-34.845691,11.4,0.99,9.0
2025-11-19T14:33:20-03:00,190,30.8,38.0,-8.002913,-34.846522,10.8,0.95,9.0
2025-11-19T14:33:41-03:00,191,30.8,38.0,-8.002913,-34.846522,10.8,0.95,9.0
2025-11-19T14:34:02-03:00,192,30.8,37.0,-8.001621,-34.84499,9.1,1.07,9.0
2025-11-19T14:34:23-03:00,193,30.2,37.0,-8.001372,-34.844368,7.5,0.95,9.0
2025-11-19T14:34:46-03:00,194,30.2,37.0,-8.000372,-34.844147,9.7,0.99,8.0
2025-11-19T14:35:07-03:00,195,30.2,37.0,-7.999826,-34.843919,9.7,0.99,8.0
2025-11-19T14:35:27-03:00,196,29.8,38.0,-7.999094,-34.843299,9.7,0.99,8.0
2025-11-19T14:35:48-03:00,197,29.8,37.0,-7.999094,-34.843299,9.7,0.99,8.0
2025-11-19T14:36:09-03:00,198,29.3,37.0,-7.997439,-34.842666,11.2,0.99,8.0
2025-11-19T14:36:29-03:00,199,29.3,37.0,-7.997394,-34.841718,10.8,0.87,9.0
2025-11-19T14:36:50-03:00,200,29.3,37.0,-7.996473,-34.841586,9.8,0.87,9.0
2025-11-19T14:37:11-03:00,201,28.9,37.0,-7.996272,-34.841085,14.1,0.87,9.0
2025-11-19T14:37:32-03:00,202,28.9,37.0,-7.995996,-34.840841,17.3,0.91,9.0
2025-11-19T14:37:52-03:00,203,28.9,37.0,-7.996008,-34.840833,20.4,0.91,9.0
2025-11-19T14:38:13-03:00,204,28.5,37.0,-7.996008,-34.840876,22.5,0.88,9.0
2025-11-19T14:38:33-03:00,205,28.5,37.0,-7.995983,-34.84088,19.7,0.88,9.0
2025-11-19T14:38:54-03:00,206,28.5,37.0,-7.995978,-34.840883,18.7,1.0,9.0
2025-11-19T14:39:15-03:00,207,28.9,42.0,-7.995979,-34.840871,17.9,0.88,9.0
2025-11-19T14:39:36-03:00,208,29.3,49.0,-7.995971,-34.840868,28.2,0.88,9.0
2025-11-19T14:39:56-03:00,209,29.8,55.0,-7.995961,-34.840862,28.2,0.88,9.0
2025-11-19T14:40:17-03:00,210,29.8,57.0,-7.995961,-34.840862,28.2,0.88,9.0
2025-11-19T14:40:38-03:00,211,30.2,58.0,-7.995961,-34.840862,28.2,0.88,9.0
2025-11-19T14:40:58-03:00,212,30.8,59.0,-7.99594,-34.840847,39.9,0.88,9.0
2025-11-19T14:41:19-03:00,213,31.2,61.0,-7.99594,-34.840847,39.9,0.88,9.0
2025-11-19T14:41:40-03:00,214,31.3,61.0,-7.995931,-34.840887,34.5,1.02,9.0
2025-11-19T14:42:00-03:00,215,31.3,62.0,-7.995899,-34.840952,34.5,1.02,9.0
2025-11-19T14:42:21-03:00,216,31.8,62.0,-7.995899,-34.840952,27.0,0.84,10.0
2025-11-19T14:42:41-03:00,217,31.8,62.0,-7.995882,-34.840965,24.6,0.84,10.0
2025-11-19T14:43:02-03:00,218,31.8,62.0,-7.995882,-34.840965,25.9,0.89,9.0
2025-11-19T14:43:22-03:00,219,31.8,62.0,-7.995883,-34.84094,29.7,0.84,10.0
2025-11-19T14:43:43-03:00,220,32.3,63.0,-7.995883,-34.84094,29.7,0.84,10.0
2025-11-19T14:44:04-03:00,221,32.3,63.0,-7.995894,-34.84093,27.4,0.84,10.0
2025-11-19T14:44:24-03:00,222,32.3,63.0,-7.995905,-34.840932,26.3,0.89,9.0
2025-11-19T14:44:45-03:00,223,32.3,63.0,-7.995912,-34.840911,28.4,1.13,8.0
2025-11-19T14:45:05-03:00,224,32.3,63.0,-7.995912,-34.840944,24.2,0.84,9.0
2025-11-19T14:45:29-03:00,225,32.8,66.0,-7.995912,-34.840944,24.2,0.84,9.0
2025-11-19T14:45:49-03:00,226,34.7,68.0,-7.995912,-34.840952,24.5,0.91,9.0
2025-11-19T15:09:06-03:00,227,32.8,70.0,-7.996153,-34.84115,59.7,1.1,8.0
2025-11-19T15:09:27-03:00,228,32.3,68.0,-7.996104,-34.841186,60.8,0.96,8.0
2025-11-19T15:09:47-03:00,229,32.3,68.0,-7.995965,-34.841043,51.8,0.86,9.0
2025-11-19T15:10:08-03:00,230,32.3,68.0,-7.995931,-34.841009,55.6,0.81,10.0
2025-11-19T15:10:29-03:00,231,32.3,68.0,-7.995931,-34.841009,55.6,0.81,10.0
2025-11-19T15:10:49-03:00,232,31.8,68.0,-7.995929,-34.84097,63.2,0.81,9.0
2025-11-19T15:11:10-03:00,233,31.8,68.0,-7.995929,-34.84097,63.2,0.81,9.0
2025-11-19T15:11:30-03:00,234,31.8,69.0,-7.995933,-34.840967,66.4,0.92,8.0
2025-11-19T15:11:51-03:00,235,31.8,69.0,-7.995933,-34.840945,67.7,0.81,9.0
2025-11-19T15:12:11-03:00,236,31.8,69.0,-7.995956,-34.840918,64.6,0.77,10.0
2025-11-19T15:12:32-03:00,237,31.8,69.0,-7.995956,-34.840913,54.3,0.9,10.0
2025-11-19T15:12:53-03:00,238,31.3,69.0,-7.995927,-34.840935,46.5,1.05,9.0
2025-11-19T15:13:13-03:00,239,31.3,70.0,-7.9959,-34.840959,36.6,1.05,10.0
2025-11-19T15:13:41-03:00,240,31.3,70.0,-7.995919,-34.840916,18.7,1.07,6.0
2025-11-19T15:14:02-03:00,241,31.3,70.0,-7.995918,-34.840913,32.5,0.81,9.0
2025-11-19T15:14:23-03:00,242,31.3,70.0,-7.995917,-34.840893,36.8,0.78,10.0
2025-11-19T15:14:44-03:00,243,31.3,70.0,-7.995876,-34.840944,52.4,0.81,10.0
2025-11-19T15:15:05-03:00,244,31.3,70.0,-7.995874,-34.840942,54.8,0.86,9.0
2025-11-19T15:15:26-03:00,245,31.3,70.0,-7.995873,-34.840925,61.5,1.09,8.0
2025-11-19T15:15:46-03:00,246,31.3,70.0,-7.995858,-34.840944,64.7,0.86,10.0
2025-11-19T15:16:07-03:00,247,31.3,71.0,-7.995805,-34.840922,71.7,0.81,9.0
2025-11-19T15:16:28-03:00,248,31.4,71.0,-7.995821,-34.840904,71.7,0.81,9.0
2025-11-19T15:16:52-03:00,249,31.8,71.0,-7.995884,-34.840947,18.7,1.07,6.0
2025-11-19T15:17:13-03:00,250,31.8,71.0,-7.995886,-34.840949,70.9,0.78,10.0
2025-11-19T15:18:14-03:00,251,31.8,71.0,-7.995914,-34.840903,59.7,0.78,10.0
2025-11-19T15:18:35-03:00,252,31.8,71.0,-7.99592,-34.840907,54.6,0.81,10.0
2025-11-19T15:18:56-03:00,253,31.8,71.0,-7.995927,-34.840903,53.2,0.82,10.0
2025-11-19T15:19:17-03:00,254,31.8,71.0,-7.995923,-34.840921,54.4,0.94,10.0
2025-11-19T15:19:37-03:00,255,31.8,71.0,-7.995956,-34.840874,40.7,0.94,9.0
2025-11-19T15:19:58-03:00,256,31.8,71.0,-7.995956,-34.840874,40.7,0.94,9.0
2025-11-19T15:20:19-03:00,257,31.8,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:20:40-03:00,258,31.8,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:21:01-03:00,259,31.8,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:21:22-03:00,260,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:21:42-03:00,261,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:22:03-03:00,262,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:22:24-03:00,263,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:22:45-03:00,264,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:23:06-03:00,265,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:23:28-03:00,266,31.8,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:23:49-03:00,267,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:24:10-03:00,268,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:24:33-03:00,269,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:24:54-03:00,270,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:25:14-03:00,271,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:25:35-03:00,272,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:25:56-03:00,273,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:26:16-03:00,274,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:26:39-03:00,275,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:27:00-03:00,276,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:27:21-03:00,277,31.3,70.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:27:41-03:00,278,31.3,70.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:28:02-03:00,279,31.3,70.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:28:23-03:00,280,31.3,70.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:28:43-03:00,281,31.3,70.0,-7.995956,-34.840874,40.7,99.99,6.0
